,승인번호,차변계정과목,차변금액,적요,거래처명,프로젝트명,사용부서명,귀속월,본부명,,차변계정과목,1 월,2 월,3 월,4 월,5 월,6 월,계,검증,좌 합계,"  1,201,262,073 "
2026-02-09,21,[6300000]소모품비,"1,500,034","02월목장면양털갂이컷팅날3종,총50개구입",Horner Shearing (Stock Clitheroe     GBR,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-09,19,[6300000]소모품비,"9,818",02월미디어아트벽걸이형어댑터3개구입,한국정보통신（주）,미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-09,23,[6300000]소모품비,"9,000",02월미디어아트벽걸이형어댑터구입1개,한국정보통신（주）,미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-10,48,[6190000]지급임차료,"61,778",25년12월1일~26년1월4일_정수기렌탈료/레저팀2대,웅진코웨이(주),마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-10,44,[6300000]소모품비,"701,091",02월목장대형견사료10개구입,한국정보통신（주）,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-10,32,[6200000]수선비,"130,000",02월Activity팀_김형도/미니포렛키오스크수리[보험청구],청주성화정보통신,미니포렛,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-10,48,[6190000]지급임차료,"54,991",25년12월1일~26년1월4일_정수기렌탈료/미디어아트2대,웅진코웨이(주),미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-10,40,[1460000]상품,"97,636",02월얼룩말카페판매용상품구입/워터젤리외3,네이버파이낸셜주식회사,얼룩말카페,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-10,41,[6300000]소모품비,"9,709",소모품구입/커피브러쉬세척솔,한국정보통신（주）,얼룩말카페,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-10,41,[1460000]상품,"19,364",판매용상품구입/움직이는토끼인형3개,한국정보통신（주）,얼룩말카페,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-11,11,[6230000]운반비,"900,000", 02월목장팀면양운송대금/20마리,개별화물(천인수),목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-11,21,[6300000]소모품비,"345,454",02월목장매표소비대면마이크구입2개,네이버파이낸셜주식회사,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-11,16,[6310000]지급수수료,"320,000",26년테마파크시설안전검사비/미디어아트센터,사단법인 안전보건진흥원,미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-11,20,[6300000]소모품비,"47,500",02월업장별디자인/벨포레홀공연후기이벤트배너,토스페이먼츠(주),미디어아트센터_기프트샵,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-11,16,[6310000]지급수수료,"320,000",26년테마파크시설안전검사비/회전그네,사단법인 안전보건진흥원,회전그네,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-12,18,[6120000]여비교통비,"40,000",업무용 차량 유류비(현장방문),음성（남이방향）주유,레저사업본부,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-12,22,[6300000]소모품비,"16,363",02월목장리틀팜강아지입마개2개구입,아리아퍼니처,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-12,23,[6300000]소모품비,"56,363",02월레저사업본부각업장[홍보저장용USB[10개구입,네이버파이낸셜주식회사,미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-13,17,[6160000]전력비,"1,314,340",마운틴파워룸,한국전력공사,마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-13,17,[6160000]전력비,"330,705",마운틴하우스,한국전력공사,마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-13,17,[6160000]전력비,"6,272,535",목장,한국전력공사,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-13,17,[6160000]전력비,891,미니골프,한국전력공사,미니골프,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-13,17,[6160000]전력비,"7,985,040",미디어아트,한국전력공사,미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-13,17,[6160000]전력비,"1,509,378",썸머랜드,한국전력공사,썸머랜드,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-13,17,[6160000]전력비,"35,850",회전그네,한국전력공사,회전그네,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-15,7,[6190000]지급임차료,"18,000",놀이동산/2대,더 퍼퓸코리아(주),놀이동산,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-15,13,[6190000]지급임차료,"-18,000",놀이동산/2대,더 퍼퓸코리아(주),놀이동산,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-15,18,[6190000]지급임차료,"18,000",놀이동산/2대,더 퍼퓸코리아(주),놀이동산,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-15,11,[6110000]복리후생비,"123,644",부서 프로젝트 완료 격려 회식,오구갈비살,레저사업본부,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-15,2,[6190000]지급임차료,"60,000",AED제세동기렌탈료/마운틴카트상부,(주)에스원청주,마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-15,7,[6190000]지급임차료,"18,000",마운틴/2대,더 퍼퓸코리아(주),마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-15,13,[6190000]지급임차료,"-18,000",마운틴/2대,더 퍼퓸코리아(주),마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-15,18,[6190000]지급임차료,"18,000",마운틴/2대,더 퍼퓸코리아(주),마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-15,2,[6190000]지급임차료,"60,000",AED제세동기렌탈료/목장,(주)에스원청주,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-15,7,[6190000]지급임차료,"36,000",목장/4대,더 퍼퓸코리아(주),목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-15,13,[6190000]지급임차료,"-36,000",목장/4대,더 퍼퓸코리아(주),목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-15,18,[6190000]지급임차료,"18,000",목장/2대,더 퍼퓸코리아(주),목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-15,1,[6310000]지급수수료,"341,000",에스원출입통제서비스용역료_미디어센터,(주)에스원청주,미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-15,2,[6190000]지급임차료,"60,000",AED제세동기렌탈료/미디어아트,(주)에스원청주,미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-15,7,[6190000]지급임차료,"36,000",미디어아트센터/4대,더 퍼퓸코리아(주),미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-15,13,[6190000]지급임차료,"-36,000",미디어아트센터/4대,더 퍼퓸코리아(주),미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-15,18,[6190000]지급임차료,"18,000",미디어아트센터/2대,더 퍼퓸코리아(주),미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-15,2,[6190000]지급임차료,"60,000",AED제세동기렌탈료/회전그네,(주)에스원청주,회전그네,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-16,7,[6310000]지급수수료,0,업무 효율화용 AI 도구 구독료,LINK APP               SOUTH SAN FRA USA,미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-16,8,[6310000]지급수수료,"-32,051",업무 효율화용 AI 도구 구독료,CLAUDE.AI SUBSCRIPTION SAN FRANCISCO USA,미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-16,9,[6310000]지급수수료,"32,051",업무 효율화용 AI 도구 구독료,CLAUDE.AI SUBSCRIPTION SAN FRANCISCO USA,미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-16,13,[1460000]상품,"135,564",02월미디어뮤지엄카페판매용상품구입/핫바외4종,한국정보통신（주）,미디어아트센터_뮤지엄카페,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-16,14,[6300000]소모품비,"44,109","02월미디어플레이존[에벌레기차앰프,마이크케이블]구입",아리아퍼니처,미디어아트센터_뮤지엄카페,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-19,15,[6300000]소모품비,"2,109,800",02월마리나26년도오픈준비소모품/페인트외15 ,픽스제이(FIX J),마리나,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-19,16,[6300000]소모품비,"1,225,000",02월마리나선박수선소모품/페인트,삼화페인트증평점,마리나,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-20,29,[6120000]여비교통비,"30,000",업무용 차량 유류비(현장방문),음성（남이방향）주유,레저사업본부,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-20,30,[6130000]접대비,"15,500",외부 업체 미팅 관련 음료비,커피철학,레저사업본부,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-20,7,[6110000]복리후생비,"300,000","25년근로자휴가지원사업신청비/(기업)150,000*2명/Activity팀",한국관광공사,마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-20,27,[6190000]지급임차료,"120,000",복사기렌탈료외(레저),정우씨엔씨,마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-20,38,[6300000]소모품비,"152,727","02월마운틴카트고객용[일회용위생모자]구입6,000개",네이버파이낸셜주식회사,마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-20,7,[6110000]복리후생비,"600,000","25년근로자휴가지원사업신청비/(기업)150,000*4명/목장팀",한국관광공사,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-20,34,[6300000]소모품비,"198,181",02월목장리틀팜웰시코기급여용퍼피사료구입,아리아퍼니처,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-20,36,[6300000]소모품비,"29,818",02월목장팀구급상자구입,네이버파이낸셜주식회사,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-20,7,[6110000]복리후생비,"600,000","25년근로자휴가지원사업신청비/(기업)150,000*4명/미디어아트팀",한국관광공사,미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-20,27,[6190000]지급임차료,"120,000",복사기렌탈료외(레저사업본부),정우씨엔씨,미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-20,37,[6300000]소모품비,"34,436",02월미디어아트센터멀티탭구입2개,아리아퍼니처,미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-20,26,[1460000]상품,"105,000",02월업장별판매용상품구입/미디어아트,J트레이딩/귤품은해녀한라봉주스,미디어아트센터_뮤지엄카페,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-20,39,[6300000]소모품비,"17,727",02월미디어아트미끄럼틀모서리보호대5개구입,아리아퍼니처,미디어아트센터_뮤지엄카페,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-21,10,[6340000]장비사용료,"200,000",07월지게차사용료(썸머랜드놀이기구선착장폰툰하차)/썸머랜드,가야지게차(원국중기),썸머랜드,Activity팀,02,레저,,,,,,,,,,,,
2026-02-22,7,[6110000]복리후생비,"24,546",업무 협의 및 중식대,（주）장이네에프앤씨,레저사업본부,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-23,25,[6300000]소모품비,"16,091",02월목장리틀팜면양착용머디띠구입3개,한국정보통신（주）,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-23,26,[6300000]소모품비,"452,545",02월얼룩말카페운영소모품구입/아이스뚜컹컵외4,토스페이먼츠(주),얼룩말카페,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-24,27,[6300000]소모품비,"20,090",02월엑티비티[매표소미운영]안내배너구입2개,네이버파이낸셜주식회사,마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-24,25,[6300000]소모품비,"75,963",02월목장고갱비치용상비약구입/밴드외10종,아리아퍼니처,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-24,26,[6300000]소모품비,"18,454",02월미니포렛[코스선택가이드]안내판제작,네이버파이낸셜주식회사,미니포렛,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-25,31,[6300000]소모품비,"78,182",02월업장별상비약구입/목장,화랑약국,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-25,19,[6300000]소모품비,"139,500",미디어센터,한국특수유통(주),미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-25,19,[6300000]소모품비,0,식음(얼룩말),한국특수유통(주),얼룩말카페,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-25,30,[1460000]상품,"196,364",02월세미나[얼룩말]다과구입/한국전자통신연구원A셋트72개,한국전자통신연구원,얼룩말카페,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-25,30,[1460000]상품,"321,818",02월세미나[얼룩말]다과구입/카이스트B셋트54개,카이스트,얼룩말카페,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-25,30,[1460000]상품,"163,636",02월세미나[얼룩말]다과구입/충북보건과학대C셋트20개,충북보건과학대,얼룩말카페,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-26,12,[6120000]여비교통비,"40,000",업무용 차량 유류비(현장방문),음성（남이방향）주유,레저사업본부,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-26,7,[6310000]지급수수료,"474,000",02월목장내동물분뇨처리,농업회사법인 더클린(주),목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-27,4,[6210000]보험료,"826,720",26년도차량보험료(렉스턴/85저5967)/(기간:26.02.28~27.02.28)/김형도,현대해상화재보험,마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-27,4,[6210000]보험료,"937,490",26년도차량보험료(포터Ⅱ/95너0580)/(기간:26.02.28~27.02.28)/Activity팀,현대해상화재보험,마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-27,4,[6210000]보험료,"810,230",26년도차량보험료(포터/802어3737)/(기간:26.02.28~27.02.28)/목장팀,현대해상화재보험,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-27,25,[6110000]복리후생비,"300,000",생수대금/목장,락산수,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-27,17,[1460000]상품,"168,000","2월얼룩말카페원재료(원두)구매/44도블랜드[1KG]8*23,100원",주식회사 55도커피로스터스,얼룩말카페,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-27,15,[1460000]상품,"183,273",02월얼룩말카페판매용상품구입/빙과류,(주)현림유통,얼룩말카페,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-27,32,[6300000]소모품비,"121,181",02월얼룩말카페소모품구입/실링기외4,네이버파이낸셜주식회사,얼룩말카페,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,74,[6020000]외주비,"44,956,120",02월위탁매출수수료_놀이동산(뉴스타피아),주식회사뉴스타피아,놀이동산,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,108,[6020000]외주비,"-44,956,120",2월외주업체상계/놀이동산(2월매출비용상계잔액분),주식회사뉴스타피아,놀이동산,,02,레저,,,,,,,,,,,,
2026-02-28,62,[6310000]지급수수료,"1,000",[현금시재]2026.02.06등기부등본/1건/토스페이/디지털지원팀,법원행정처(인터넷등기소),디지털지원팀,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,85,[6110007]복리후생비_식대,"229,090",직원식당식대/디지털지원팀,삼성웰스토리(주)벨포레CC,디지털지원팀,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6110003]복리후생비_건강보험,"606,989",2월귀속임직원건강보험료회사부담금,건강보험관리공단,디지털지원팀,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6170000]세금과공과금,"571,935",2월귀속임직원국민연금회사부담금,국민연금관리공단,디지털지원팀,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6210000]보험료,"116,068",2월귀속임직원고용보험회사부담금,고용보험,디지털지원팀,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6210000]보험료,"87,575",2월귀속임직원산재보험료,산재보험,디지털지원팀,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,95,[6030000]급여,"13,502,210",2월귀속직원급여/권순민외2명_디지털지원팀,기타직원(정규직),디지털지원팀,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,24,[6110000]복리후생비,"30,910",팀장 격려 식대,행복밥상,레저사업본부,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6110003]복리후생비_건강보험,"196,099",2월귀속임직원건강보험료회사부담금,건강보험관리공단,레저사업본부,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6170000]세금과공과금,"216,745",2월귀속임직원국민연금회사부담금,국민연금관리공단,레저사업본부,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6210000]보험료,"65,663",2월귀속임직원고용보험회사부담금,고용보험,레저사업본부,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6210000]보험료,"46,365",2월귀속임직원산재보험료,산재보험,레저사업본부,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,95,[6030000]급여,"5,417,650",2월귀속직원급여/김태정_레저사업본부,기타직원(정규직),레저사업본부,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,59,[6150000]수도광열비,0,상하수도요금/루지상부,증평군상하수도사업소,엑티비티,Activity팀,02,레저,,,,,,,,,,,,
2026-02-28,59,[6150000]수도광열비,0,상하수도요금/루지매표소,증평군상하수도사업소,엑티비티,Activity팀,02,레저,,,,,,,,,,,,
2026-02-28,59,[6150000]수도광열비,0,상하수도요금/마리나,증평군상하수도사업소,마리나,Activity팀,02,레저,,,,,,,,,,,,
2026-02-28,93,[6110003]복리후생비_건강보험,"111,329",2월귀속임직원건강보험료회사부담금,건강보험관리공단,마리나,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6110003]복리후생비_건강보험,0,2월귀속일용직건강보험료회사부담금,건강보험관리공단,마리나,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6170000]세금과공과금,"97,565",2월귀속임직원국민연금회사부담금,국민연금관리공단,마리나,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6170000]세금과공과금,0,2월귀속일용직국민연금회사부담금,국민연금관리공단,마리나,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6210000]보험료,"44,308",2월귀속임직원고용보험회사부담금,고용보험,마리나,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6210000]보험료,0,2월귀속일용직고용보험회사부담금,고용보험,마리나,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6210000]보험료,"28,895",2월귀속임직원산재보험료,산재보험,마리나,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6210000]보험료,0,2월귀속일용직산재보험료,산재보험,마리나,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,94,[6040000]잡급,0,2월귀속일용직노임,증평에듀팜일용노임,마리나,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,95,[6030000]급여,"3,333,340",2월귀속직원급여/정송현_마리나,기타직원(정규직),마리나,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,109,[6220000]차량유지비,0,"마리나(5080,제트보트,요트)경유및무연유류대",유진주유소,마리나,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,2,[6190000]지급임차료,"1,000,000",02월숙소임차료(대성베르힐A108-1402)김형도/24회중19회납(선납),유재열,마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,2,[6190000]지급임차료,"400,000",02월숙소임차료(햇살나무201호)오승진/60회중52회납(선납),엄무섭,마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,7,[6120000]여비교통비,"160,600","02월_왕목항공료[02/6,02/20] 청주<->제주",대한항공,마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,77,[6300000]소모품비,"771,420",02월부서별소모품및자재구매/Activity팀,(주)은혜종합상사,마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,85,[6110007]복리후생비_식대,"1,336,363",직원식당식대/레저,삼성웰스토리(주)벨포레CC,마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6110003]복리후생비_건강보험,"550,769",2월귀속임직원건강보험료회사부담금,건강보험관리공단,마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6110003]복리후생비_건강보험,0,2월귀속일용직건강보험료회사부담금,건강보험관리공단,마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6170000]세금과공과금,"594,825",2월귀속임직원국민연금회사부담금,국민연금관리공단,마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6170000]세금과공과금,"162,490",2월귀속일용직국민연금회사부담금,국민연금관리공단,마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6210000]보험료,"144,953",2월귀속임직원고용보험회사부담금,고용보험,마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6210000]보험료,0,2월귀속일용직고용보험회사부담금,고용보험,마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6210000]보험료,"111,195",2월귀속임직원산재보험료,산재보험,마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6210000]보험료,0,2월귀속일용직산재보험료,산재보험,마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,94,[6040000]잡급,"12,200,000",2월귀속일용직노임/김대희외10명,증평에듀팜일용노임,마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,95,[6030000]급여,"12,954,840",2월귀속직원급여/김형도외3명_마운틴카트,기타직원(정규직),마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,109,[6220000]차량유지비,"273,884","엑티비티(3711,1880(구급차),브로우)경유유류대",유진주유소,마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,126,[6110000]복리후생비,"458,000",썰매장무빙워크베어링교체야간작업식대외,,마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,126,[6130000]접대비,"48,000",경주루지리프트부품업체방품,남도예담,마운틴카트,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,2,[6190000]지급임차료,"430,000",02월숙소임차료(로망스빌204호)이재훈/48회중40회납(선납),연정숙,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,9,[6300000]소모품비,"896,950",02월건초(티모시)및동물사료구매/닭사료및양사료,정인물류,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,59,[6150000]수도광열비,"1,110,746",상하수도요금/마사,증평군상하수도사업소,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,59,[6150000]수도광열비,"378,900",상하수도요금/양사,증평군상하수도사업소,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,81,[6110000]복리후생비,0,식자재및소모품(간식외)목장,화랑마트,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,81,[1460000]상품,"660,440",판매용상품(치커리외)목장팀,화랑마트,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,85,[6110007]복리후생비_식대,"894,545",직원식당식대/목장,삼성웰스토리(주)벨포레CC,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6110003]복리후생비_건강보험,"957,449",2월귀속임직원건강보험료회사부담금,건강보험관리공단,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6110003]복리후생비_건강보험,0,2월귀속일용직건강보험료회사부담금,건강보험관리공단,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6170000]세금과공과금,"1,233,065",2월귀속임직원국민연금회사부담금,국민연금관리공단,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6170000]세금과공과금,"194,270",2월귀속일용직국민연금회사부담금,국민연금관리공단,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6210000]보험료,"257,513",2월귀속임직원고용보험회사부담금,고용보험,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6210000]보험료,0,2월귀속일용직고용보험회사부담금,고용보험,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6210000]보험료,"203,215",2월귀속임직원산재보험료,산재보험,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6210000]보험료,0,2월귀속일용직산재보험료,산재보험,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,94,[6040000]잡급,"3,200,000",2월귀속일용직노임/사랑외2명,증평에듀팜일용노임,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,95,[6030000]급여,"24,816,750",2월귀속직원급여/이민혜외8명_목장팀,기타직원(정규직),목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,109,[6220000]차량유지비,0,목장팀(0467)경유및무연유류대,유진주유소,목장/체험,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,29,[6160000]전력비,-886,1월미니골프사용량(5kwh)_뉴스타피아,한국전력공사,미니골프,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,12,[6230000]운반비,"16,000",남도예담앞방향안내용입간판설치운반비,,미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,12,[6310000]지급수수료,"1,284",직원채용중간거래수수료,주식회사 당근마켓,미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,59,[6150000]수도광열비,"3,300,784",상하수도요금/미디어아트센터,증평군상하수도사업소,미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,77,[6300000]소모품비,"49,000",02월부서별소모품및자재구매/미디어,(주)은혜종합상사,미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,82,[6150000]수도광열비,"8,390",보일러(미디어아트#1)사용량10(m3),동양가스,미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,82,[6150000]수도광열비,"1,362,272",보일러(미디어아트#2)사용량8703(m3),동양가스,미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,85,[6110007]복리후생비_식대,"954,545",직원식당식대/미디어아트,삼성웰스토리(주)벨포레CC,미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,87,[6420000]판매촉진비,"17,015",02월미디어아트센터직원채용광고,주식회사 당근마켓,미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6110003]복리후생비_건강보험,"479,689",2월귀속임직원건강보험료회사부담금,건강보험관리공단,미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6110003]복리후생비_건강보험,0,2월귀속일용직건강보험료회사부담금,건강보험관리공단,미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6170000]세금과공과금,"339,945",2월귀속임직원국민연금회사부담금,국민연금관리공단,미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6170000]세금과공과금,"182,790",2월귀속일용직국민연금회사부담금,국민연금관리공단,미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6210000]보험료,"137,118",2월귀속임직원고용보험회사부담금,고용보험,미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
2026-02-28,93,[6210000]보험료,0,2월귀속일용직고용보험회사부담금,고용보험,미디어아트센터,레저사업본부,02,레저,,,,,,,,,,,,
